(openmp)

NUM_THREADS        1
NUM_GENERATIONS    2000
N                  2048
SEED               1985

GEN 0              2096241
GEN 1999           146951
elapsed time     78684.00

1146561,53
1063629,98
1052114,147
1000392,190
973468,233
938408,281
912462,324
885234,383
863768,442
841199,498
819314,549
801253,602
784926,663
768146,716
753437,770
738369,823
724971,871
712831,924
701293,970
690063,1016
679783,1063
668840,1107
658677,1156
648044,1201
639226,1245
630707,1289
620848,1330
612971,1369
604523,1411
597966,1453
589792,1491
584594,1531
577653,1569
572271,1610
566522,1656
561412,1696
556731,1734
551765,1772
547676,1811
543316,1851
539749,1889
535017,1930
530683,1968
527430,2005
522686,2044
520470,2084
515585,2124
511544,2169
507274,2210
504246,2251
500606,2295
496809,2336
493950,2378
490324,2427
487800,2468
485332,2507
483590,2546
480988,2586
478696,2625
475603,2669
473845,2711
471158,2755
468246,2798
467094,2837
463768,2876
461191,2916
457846,2953
456339,2990
453929,3029
451056,3067
449060,3105
447261,3146
444818,3185
443300,3224
440550,3263
438724,3301
435813,3337
434963,3375
432346,3416
430807,3455
428956,3492
426726,3529
425932,3566
423746,3607
421983,3647
419741,3685
418234,3723
416522,3762
415254,3799
414363,3836
413142,3878
411147,3919
409904,3956
408314,3993
405788,4029
404331,4065
401916,4104
400485,4142
398518,4179
398175,4217
396624,4255
395194,4292
393222,4329
391897,4366
390669,4403
389854,4442
388778,4481
387539,4518
386780,4555
384632,4591
384157,4629
381942,4668
380939,4705
378827,4741
377773,4779
376646,4815
376038,4853
374677,4891
373302,4930
371807,4968
371617,5007
370302,5044
370944,5080
369280,5117
369288,5155
368508,5194
368018,5232
366624,5269
366297,5308
364815,5345
363747,5382
363787,5435
363161,5529
362205,5579
362014,5621
360521,5669
360099,5713
359620,5756
358138,5796
358069,5837
356855,5876
356583,5920
355416,5964
355541,6003
353716,6040
352370,6078
351604,6116
352252,6154
350197,6194
349918,6231
349394,6269
349178,6305
348003,6342
347206,6378
346706,6416
344591,6456
344875,6494
343163,6531
343032,6568
341858,6604
341323,6641
339637,6680
338653,6718
337356,6756
335471,6794
333648,6831
332842,6868
331350,6907
330966,6947
330067,6984
330250,7020
329336,7057
329467,7093
328202,7130
328959,7170
327906,7211
327607,7250
327102,7290
327123,7330
326473,7370
327056,7411
325152,7452
325075,7489
323713,7528
323912,7564
323377,7600
322605,7637
322515,7674
322262,7714
321195,7751
320675,7790
319272,7827
318449,7865
317726,7904
318376,7942
317844,7981
317708,8018
316458,8054
316203,8089
314042,8125
313307,8164
312655,8201
312464,8240
311551,8279
311009,8317
310527,8354
310334,8390
310087,8429
309457,8468
308832,8508
308258,8545
308236,8581
308142,8617
308106,8653
306660,8692
306633,8731
307109,8768
306988,8804
307020,8839
306531,8875
305886,8914
304737,8952
304565,8989
303726,9024
303713,9061
303444,9098
303348,9134
302869,9170
302718,9210
302646,9248
302379,9285
302000,9321
301291,9356
301301,9394
300006,9433
300751,9473
299497,9511
299453,9547
298272,9584
298174,9619
298308,9656
298139,9693
296546,9734
295941,9770
295016,9806
295306,9841
293917,9878
293737,9917
293052,9956
292526,9997
290900,10034
291053,10071
290644,10108
290359,10144
290035,10180
289526,10218
289122,10256
288418,10295
289005,10331
287397,10367
287054,10402
286455,10438
286966,10477
286201,10513
286598,10553
285782,10590
286169,10626
285763,10661
286224,10697
285487,10734
285857,10770
285665,10808
285286,10844
284744,10880
285385,10917
284572,10954
284412,10993
283717,11030
283848,11068
283097,11104
282306,11140
282560,11175
281695,11213
281026,11251
280018,11296
279459,11338
278674,11380
277988,11419
277442,11457
276816,11495
276781,11532
276557,11572
275822,11613
274880,11650
275600,11687
275093,11725
274845,11764
273870,11802
273781,11839
273273,11875
272903,11911
272376,11947
271521,11986
270591,12021
270884,12058
270224,12094
270508,12130
270197,12166
269660,12205
269277,12248
269229,12285
269721,12323
268582,12362
268038,12399
267712,12435
266985,12471
266378,12508
266000,12544
265734,12581
265890,12618
265490,12654
265385,12690
264686,12726
265018,12763
264165,12802
264435,12840
263696,12878
264025,12916
263841,12952
263939,12990
263993,13028
263604,13067
263976,13105
264009,13141
263585,13179
262519,13217
262408,13262
261566,13304
261598,13343
261427,13379
260638,13417
260047,13457
260173,13493
259601,13529
259551,13567
258838,13604
258937,13639
258550,13674
258094,13710
257875,13748
258330,13785
257558,13822
257978,13859
257723,13895
257678,13930
257194,13968
256287,14003
256720,14040
256390,14078
256087,14114
255420,14150
255153,14186
254971,14222
254179,14262
253734,14299
253616,14336
254300,14376
253377,14414
253512,14450
252834,14487
252936,14524
252760,14562
252501,14599
252057,14635
252702,14670
252153,14706
252371,14742
251239,14780
250912,14818
250889,14855
249803,14890
249833,14928
249444,14966
249028,15003
249412,15041
249470,15086
248851,15127
248519,15163
248025,15199
249060,15235
248004,15273
247943,15310
247849,15347
247096,15384
246491,15421
246524,15457
245806,15496
245416,15534
245133,15571
245633,15607
245678,15644
245064,15680
244868,15716
244468,15755
244324,15790
243524,15826
243071,15862
243170,15900
242601,15936
242315,15973
242328,16017
242516,16057
242384,16096
242310,16137
242136,16175
242251,16213
241531,16254
241497,16292
240996,16329
241241,16367
241228,16405
241463,16443
241139,16480
240614,16516
240084,16553
239596,16597
239358,16650
238435,16694
237890,16735
237885,16775
237311,16815
237620,16852
237148,16893
237065,16931
237077,16967
237179,17004
236732,17047
236696,17090
236510,17137
236981,17180
236390,17221
236670,17260
236244,17307
235181,17349
235837,17390
235607,17430
235827,17467
235278,17503
235677,17540
235359,17575
235231,17611
234882,17648
233941,17686
233847,17752
233473,17796
233409,17844
232483,17890
231958,17935
232320,17980
231464,18020
231008,18062
231024,18101
230369,18141
230340,18182
230797,18219
230465,18258
230669,18301
230480,18339
230784,18379
230776,18428
230425,18470
229744,18507
229266,18545
229316,18582
229437,18619
228981,18658
228894,18696
228563,18733
227511,18770
228073,18809
227799,18846
227905,18883
228353,18921
228598,18956
228529,18992
228570,19031
228466,19068
228193,19107
228105,19147
