(mpi)

PROCESSES          8 on Quasar
NUM_GENERATIONS    2000
N                  2048
BOARD              2048/8 -> 256

generation,cells count,elapsed time (ms)
315,267712,10.6306
316,266985,14.544
317,266378,11.8649
318,266000,11.344
319,265734,10.5081
320,265890,11.7915
321,265490,14.7834
322,265385,11.6851
323,264686,12.5079
324,265018,13.0334
325,264165,11.3938
326,264435,14.6344
327,263696,12.5809
328,264025,12.193
329,263841,12.7909
330,263939,12.4128
331,263993,18.0731
332,263604,10.9918
333,263976,11.143
334,264009,11.6854
335,263585,14.9353
336,262519,10.7925
337,262408,11.5318
338,261566,12.7943
339,261598,10.6905
340,261427,11.7519
341,260638,11.4276
342,260047,10.9072
343,260173,11.1599
344,259601,11.4591
345,259551,10.6001
346,258838,11.7173
347,258937,11.337
348,258550,14.4155
349,258094,11.6701
350,257875,12.0189
351,258330,11.2782
352,257558,11.1523
353,257978,11.0531
354,257723,11.0679
355,257678,10.6978
356,257194,11.9638
357,256287,11.1189
358,256720,11.2793
359,256390,11.4045
360,256087,11.4729
361,255420,13.3734
362,255153,10.6072
363,254971,11.4582
364,254179,11.8222
365,253734,11.0941
366,253616,11.6036
367,254300,12.4884
368,253377,10.3743
369,253512,11.2977
370,252834,11.2152
371,252936,10.6266
372,252760,11.2267
373,252501,12.7461
374,252057,13.3457
375,252702,17.7736
376,252153,15.2736
377,252371,10.8521
378,251239,10.8547
379,250912,11.4737
380,250889,10.6332
381,249803,11.529
382,249833,11.6079
383,249444,11.4799
384,249028,11.7478
385,249412,11.2782
386,249470,15.0633
387,248851,11.8921
388,248519,11.241
389,248025,11.8911
390,249060,10.4084
391,248004,11.3144
392,247943,11.0583
393,247849,10.9155
394,247096,11.4431
395,246491,12.1908
396,246524,10.3478
397,245806,11.8423
398,245416,11.2922
399,245133,12.6705
400,245633,15.2793
401,245678,11.3904
402,245064,10.9475
403,244868,12.6224
404,244468,11.6973
405,244324,11.0915
406,243524,14.8048
407,243071,10.8881
408,243170,10.8294
409,242601,11.9188
410,242315,10.4949
411,242328,13.4029
412,242516,11.2059
413,242384,12.0516
414,242310,11.8821
415,242136,11.1957
416,242251,11.7028
417,241531,16.8192
418,241497,10.5467
419,240996,11.1225
420,241241,10.7851
421,241228,10.4141
422,241463,11.3111
423,241139,12.9678
424,240614,10.5929
425,240084,12.908
426,239596,12.1763
427,239358,11.5845
428,238435,10.5772
429,237890,11.2393
430,237885,11.1439
431,237311,11.7474
432,237620,11.0524
433,237148,11.7152
434,237065,11.4882
435,237077,12.4254
436,237179,11.0474
437,236732,12.9297
438,236696,11.5013
439,236510,11.6858
440,236981,10.9458
441,236390,11.1508
442,236670,11.4295
443,236244,11.2987
444,235181,10.6604
445,235837,11.8334
446,235607,11.2555
447,235827,10.3962
448,235278,11.476
449,235677,12.0163
450,235359,12.7792
451,235231,11.2665
452,234882,13.037
453,233941,13.2611
454,233847,11.1139
455,233473,10.7863
456,233409,10.9668
457,232483,10.8392
458,231958,12.2054
459,232320,10.8721
460,231464,10.9344
461,231008,12.1627
462,231024,11.5325
463,230369,13.3071
464,230340,10.5321
465,230797,11.8108
466,230465,10.8266
467,230669,10.7541
468,230480,11.7395
469,230784,11.6212
470,230776,10.484
471,230425,12.202
472,229744,11.1277
473,229266,10.5543
474,229316,11.1892
475,229437,11.8158
476,228981,15.3892
477,228894,10.8118
478,228563,11.2777
479,227511,11.6944
480,228073,11.3106
481,227799,11.1256
482,227905,11.8866
483,228353,10.5312
484,228598,12.3394
485,228529,10.8628
486,228570,15.9185
487,228466,10.5188
488,228193,12.1076
489,228105,13.3393
490,227712,10.3409
491,227909,11.6806
492,228076,14.1337
493,227703,11.1365
494,228009,11.4796
495,228502,14.7567
496,227801,11.4694
497,228272,12.7673
498,228095,10.9549
499,227891,15.1386
500,227784,11.2746
501,227830,11.1492
502,227565,13.6902
503,227617,16.8021
504,227092,15.8842
505,227111,16.9189
506,227158,12.6801
507,227084,11.9059
508,227475,11.0846
509,227209,10.6766
510,226961,11.291
511,226717,11.3256
512,226509,14.9457
513,227219,10.7672
514,226989,12.929
515,226966,11.9395
516,226310,10.4384
517,226695,11.2653
518,225594,12.1942
519,226375,13.2723
520,225804,10.2894
521,226152,11.7204
522,225621,14.2405
523,224801,11.0502
524,224548,11.1957
525,225092,11.5573
526,223876,14.292
527,223868,12.3818
528,223608,11.2796
529,222983,13.3216
530,223463,13.1867
531,223248,10.4327
532,223221,12.5055
533,223306,13.5877
534,223295,11.2269
535,222868,13.7925
536,222973,11.4753
537,222621,12.0347
538,222571,10.2947
539,222104,11.0185
540,221999,13.6745
541,221307,12.2616
542,221850,12.5892
543,221327,14.3452
544,220992,11.5471
545,220742,11.7931
546,220697,10.87
547,220554,12.6348
548,221320,12.4424
549,220168,10.6964
550,220613,14.3471
551,220145,13.936
552,220199,12.9118
553,220320,14.2505
554,220168,10.3693
555,220521,12.8634
556,220137,12.5513
557,219954,12.954
558,219895,16.4592
559,219206,11.1055
560,219994,13.4323
561,219414,13.2852
562,219805,12.5589
563,219922,10.3996
564,219670,13.1693
565,219328,13.5131
566,219143,17.2207
567,219181,13.9964
568,219522,11.1933
569,218990,14.2398
570,219174,13.0241
571,218727,12.9042
572,218029,13.0243
573,217560,13.0329
574,217046,12.5821
575,216963,15.6705
576,217177,13.3014
577,216765,13.181
578,216546,10.4969
579,216271,12.2106
580,216450,11.4355
581,216651,10.3016
582,216431,11.0989
583,217335,18.3175
584,217234,12.8968
585,216888,12.3622
586,216867,10.6974
587,216885,11.3583
588,216569,11.2827
589,216883,15.0883
590,216575,10.8676
591,216679,11.0989
592,216952,11.349
593,216809,10.9513
594,216292,12.1307
595,216397,11.5891
596,215915,10.5798
597,216372,10.9749
598,216269,11.1289
599,216124,10.8345
600,216454,13.7184
601,216060,11.6177
602,216456,10.318
603,216103,11.7846
604,216328,12.1858
605,215839,11.4956
606,215724,10.6838
607,215408,11.4155
608,215351,10.4783
609,215508,11.6949
610,215048,11.1985
611,215029,11.5664
612,215016,11.0993
613,214585,11.4179
614,214716,13.5875
615,214176,10.8242
616,213815,11.2922
617,213938,10.8845
618,213467,11.4291
619,213320,12.5823
620,212617,11.1179
621,212542,11.4927
622,212512,12.8255
623,212918,11.1837
624,212870,12.0347
625,212605,10.7462
626,212300,11.2627
627,212740,11.0545
628,212341,10.3524
629,212194,17.1654
630,211877,15.4254
631,212168,12.9435
632,212093,12.3768
633,211548,10.6771
634,211375,11.0977
635,211001,11.2319
636,211341,10.4208
637,211516,11.0309
638,211396,10.9823
639,211040,10.9344
640,210864,11.4174
641,210719,11.3871
642,209681,11.107
643,210306,11.2002
644,210039,12.5196
645,209846,12.0244
646,210050,10.7903
647,210395,10.9375
648,210550,10.3192
649,210900,12.7819
650,210242,14.5752
651,210467,12.3379
652,209935,10.2942
653,210418,11.0416
654,210044,11.2543
655,210090,10.6034
656,209869,11.2078
657,209850,13.9217
658,208855,13.4192
659,209453,16.4373
660,209363,11.5812
661,210010,11.5917
662,210338,13.3126
663,210261,12.6672
664,210619,13.0675
665,210789,13.226
666,210123,13.6397
667,209986,13.0427
668,209451,19.8054
669,209699,15.2018
670,209523,12.3246
671,209168,10.447
672,208969,12.7647
673,208404,12.0163
674,208491,14.3785
675,208506,10.4675
676,208302,13.0341
677,207905,10.37
678,208219,14.6241
679,207491,12.0568
680,207843,13.6323
681,207657,13.937
682,207804,14.1666
683,207461,12.9359
684,207628,11.8344
685,207206,13.5694
686,207318,12.1169
687,207447,10.5896
688,207887,13.1061
689,207127,13.0899
690,206921,12.5737
691,206311,14.9627
692,205773,10.9129
693,205348,14.1356
694,205424,13.5841
695,204971,12.9631
696,204963,10.3831
697,204840,13.9551
698,204839,13.325
699,204791,13.8571
700,205007,13.4377
701,204669,11.692
702,204855,12.8229
703,204504,13.2682
704,205151,14.0784
705,204785,13.6909
706,204601,10.8893
707,204720,13.9067
708,204177,12.234
709,204254,13.2928
710,204510,11.313
711,204563,13.7601
712,203902,12.3661
713,203909,12.346
714,203836,13.1314
715,204002,12.6808
716,204246,13.2244
717,203739,12.4087
718,204538,10.4144
719,204059,12.2619
720,204090,13.6833
721,204359,12.6452
722,203772,10.4699
723,204046,12.4605
724,203361,12.856
725,203538,12.5813
726,203682,10.8058
727,203562,13.8516
728,203065,11.1325
729,203640,14.322
730,203271,10.7613
731,203764,11.4155
732,203534,10.2975
733,203730,10.7114
734,203281,11.6136
735,203200,11.3087
736,203244,10.9923
737,202667,12.5573
738,202559,15.733
739,202663,11.6107
740,202448,10.9422
741,202311,13.0618
742,202119,11.5664
743,201799,10.3407
744,201825,11.3161
745,201888,11.4806
746,202235,11.5118
747,201811,12.0056
748,202341,12.0466
749,202095,17.3819
750,202273,13.4461
751,201891,13.8347
